Key,Dialogue,Context
[BARK]Arrested_0,どうなってるんだ？,
[BARK]Arrested_1,俺は25年間ここで働いているんです。こんなの狂ってる。,
[BARK]Arrested_10,お願いです！,
[BARK]Arrested_11,人違いです！,
[BARK]Arrested_12,彼らのことは知りません！,
[BARK]Arrested_2,俺は犯罪者じゃない！,
[BARK]Arrested_3,俺はこの件とは無関係です！,
[BARK]Arrested_4,俺は—ちょっと—やめてください！,
[BARK]Arrested_5,何するんですか？,
[BARK]Arrested_6,お願いです。俺は母親と住んでいるんです！母の世話をしないといけないんです！,
[BARK]Arrested_7,もう、勘弁してくださいよ！一体なんなんだ？！,
[BARK]Arrested_8,あなた、クリスチャンでしょう！,
[BARK]Arrested_9,いてっ！,
[BARK]ArrestIdle_0,もう少しで定年退職なんですよ。それなのに、こんなことするはずないでしょう？,
[BARK]ArrestIdle_1,ジャックと話してください。彼が来てからトラブルばかりだ。,
[BARK]ArrestIdle_2,ジャックに脅されたんです！彼は母を脅したんです！,
[BARK]ArrestIdle_3,警察が来て、質問されて、それから銃撃になったんです。,
[BARK]ArrestIdle_4,彼らは荷物を受け取っていました！一体どういうことなのか、まったくわかりません！,
[BARK]ArrestIdle_5,お願いです！釈放してください！,
[BARK]ArrestIdle_6,これから俺はどうなるんですか？他の人たちはどこですか？,
[BARK]ArrestIdle_7,救急車を呼んでください。,
[BARK]ArrestIdle_8,彼らはギャングか何かに違いありません！,
[BARK]ArrestIdle_9,他の人たちを出してください！,
[BARK]Bashed_0,（うめき）,
[BARK]Bashed_1,（うめき）,
[BARK]Bashed_2,（うめき）,
[BARK]Bashed_3,（うめき）,
[BARK]Bashed_4,（うめき）,
[BARK]Bashed_5,（うめき）,
[BARK]Bashed_6,（うめき）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Breathing_3,（荒い息遣い）,
[BARK]Compliant_0,わかった、撃たないでくれ！俺は無実だ！,
[BARK]Compliant_1,わかったから、急いでください！,
[BARK]Compliant_2,聞いてるんですか？,
[BARK]Compliant_3,わかりました！,
[BARK]Compliant_4,俺は動いてませんよ！,
[BARK]Compliant_5,ゆっくり伏せますよ！,
[BARK]Compliant_6,何もしませんって！,
[BARK]Compliant_7,助けてください！,
[BARK]Compliant_8,お願いです！彼ら殺されそうなんです！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]FellowAIKilled_0,（スペイン語で叫んでいる）,
[BARK]FellowAIKilled_1,（スペイン語で叫んでいる）,
[BARK]FellowAIKilled_2,もうたくさんだ！やめてくれ！,
[BARK]FellowAIKilled_3,やめろ！,
[BARK]Flashed_0,（悲鳴）,
[BARK]Flashed_1,（悲鳴）,
[BARK]Gassed_0,（咳き込む）,
[BARK]Gassed_1,（咳き込む）,
[BARK]HeardSWAT_0,誰かいるか？,
[BARK]HeardSWAT_1,おーい？,
[BARK]HeardSWAT_2,助けてくれ！ここだ！,
[BARK]HeardSWAT_3,おーい？誰か？,
[BARK]HeardSWAT_4,こ、ここ？助けてくれ！,
[BARK]Hesitating_0,大変だ...俺...俺は...,
[BARK]Hesitating_1,大変だ...俺...俺は...,
[BARK]Hesitating_2,あー...えーっと...,
[BARK]Hesitating_3,俺は...えー...,
[BARK]Hesitating_4,俺は...あー...えーっと...,
[BARK]Hesitating_5,えっ！,
[BARK]IdleAlly_0,ジャックは何をしたんだ？,
[BARK]IdleAlly_1,彼らは狂った連中だ。彼らには何も言うな。下を見てろ。,
[BARK]IdleAlly_2,何もするな！彼らに殺されるぞ！,
[BARK]IdleAlly_3,声を抑えろ！,
[BARK]IdleAlly_4,出口はあるのか？,
[BARK]IdleAlly_5,静かにしてろ！彼らに聞こえるだろ！,
[BARK]IdleAlly_6,ここにいろ。,
[BARK]IdleEnemy_0,ノー武勇伝ペル ファヴォーレ、ダニエル。,
[BARK]IdleEnemy_1,（スペイン語で話している）,
[BARK]IdleEnemy_2,（スペイン語で話している）,
[BARK]IdleEnemy_3,（スペイン語で話している）,
[BARK]IdleSelf_0,（スペイン語で話している）,
[BARK]IdleSelf_1,（スペイン語で話している）,
[BARK]IdleSelf_2,（スペイン語で話している）,
[BARK]IdleSelf_3,（スペイン語で話している）,
[BARK]Immune_0,（悲鳴）,
[BARK]Immune_1,何するんだ？,
[BARK]IncapIdle_0,（苦し気なうめき声）,
[BARK]IncapIdle_1,（苦し気なうめき声）,
[BARK]IncapIdle_2,（苦し気なうめき声）,
[BARK]IncapIdle_3,（苦し気なうめき声）,
[BARK]NonCompliant_0,ノーノーノーノー、待ってください！,
[BARK]NonCompliant_1,俺は何もしてません、本当です！,
[BARK]NonCompliant_2,やめてください！,
[BARK]NonCompliant_3,待って、話を聞いてください！お願いです！,
[BARK]NonCompliant_4,違う、俺じゃない！,
[BARK]NonCompliant_5,俺は従業員です！彼らの仲間じゃありません！,
[BARK]NonCompliant_6,できない！無理だ！,
[BARK]NonCompliant_7,違う！俺はやってない！,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]Pain_1,（苦痛に満ちた叫び声）,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Pain_3,（苦痛に満ちた叫び声）,
[BARK]Pain_4,（苦痛に満ちた叫び声）,
[BARK]Pain_5,（苦痛に満ちた叫び声）,
[BARK]Pain_6,（苦痛に満ちた叫び声）,
[BARK]Pain_7,（苦痛に満ちた叫び声）,
[BARK]PickedUp_0,（苦痛に満ちた叫び声）,
[BARK]PickedUp_1,やめろ！,
[BARK]PickedUp_2,お願いだ、放してくれ！,
[BARK]PickedUp_3,俺を外に出してくれ！,
[BARK]PlayerSeen_0,彼らを止めてくれ！,
[BARK]PlayerSeen_1,俺たちを外に出してくれ！,
[BARK]PlayerSeen_2,建物にはほかにも人がいる！,
[BARK]PlayerSeen_3,誰だ？,
[BARK]PlayerSeen_4,こっちだ！,
[BARK]PlayerSeen_5,助けてくれ！,
[BARK]PlayerSeen_6,（スペイン語で話している）,
[BARK]Stunned_0,（苦痛に満ちた叫び声）,
[BARK]Stunned_1,（苦痛に満ちた叫び声）,
[BARK]Tased_0,（苦痛に満ちた叫び声）,
[BARK]Tased_1,（苦痛に満ちた叫び声）,
[BARK]Tased_2,（苦痛に満ちた叫び声）,
[REPLY]Shooting_0,ああ、クソッ！,
[REPLY]Shooting_1,なんてこった！,
[REPLY]Shooting_2,助けてくれ！,
[REPLY]Shooting_3,お願いだ、やめてくれ！,
[REPLY]Shooting_4,気をつけろ！,
[TELL]Fleeing_0,助けてくれ！,
[TELL]Fleeing_1,助けてくれ！,
[TELL]Fleeing_2,なんてこった！,
[TELL]Fleeing_3,ありえない！,
[TELL]Fleeing_4,これは金庫か？,
[TELL]Fleeing_5,どっちだ？,
[TELL]Fleeing_6,クソ,
