Key,Dialogue,Context
[CALL]ArrestingCivilianComplete_0,異常なし。,
[CALL]ArrestingCivilianComplete_1,民間人の移送準備よし。,
[CALL]ArrestingCivilianComplete_2,民間人に手錠をかけた、準備よし。,
[CALL]ArrestingCivilianComplete_3,民間人の準備よし。,
[CALL]ArrestingCivilianComplete_4,準備よし。,
[CALL]ArrestingCivilianComplete_5,民間人を拘束。,
[CALL]ArrestingCivilianComplete_6,手錠をかけた、準備よし。,
[CALL]ArrestingCivilianMove_0,回収した。,
[CALL]ArrestingCivilianMove_1,手錠をかける。,
[CALL]ArrestingCivilianMove_2,準備する。,
[CALL]ArrestingCivilian_0,動かないでくれ。,
[CALL]ArrestingCivilian_1,これをつけさせてもらう。,
[CALL]ArrestingCivilian_10,心配ない、外へ連れ出してやる。,
[CALL]ArrestingCivilian_11,仕事なんだ。,
[CALL]ArrestingCivilian_12,一緒にいると安全だ。,
[CALL]ArrestingCivilian_13,立つなよ。,
[CALL]ArrestingCivilian_14,確保した。もう心配ない。,
[CALL]ArrestingCivilian_15,仕事なんだ。,
[CALL]ArrestingCivilian_16,終わるまでそこにいるんだ。,
[CALL]ArrestingCivilian_2,きっと大丈夫だ。,
[CALL]ArrestingCivilian_3,ここが片付けば説明してやる。,
[CALL]ArrestingCivilian_4,安全な場所へ連れていく。,
[CALL]ArrestingCivilian_5,心配ない。,
[CALL]ArrestingCivilian_6,保護する。,
[CALL]ArrestingCivilian_7,助けに来た。,
[CALL]ArrestingCivilian_8,俺たちが怪我をするのはゴメンだ。,
[CALL]ArrestingCivilian_9,もう大丈夫だ、心配ない。,
[CALL]ArrestingSuspectComplete_0,準備よし。,
[CALL]ArrestingSuspectComplete_1,手錠をかけた。準備よし。,
[CALL]ArrestingSuspectComplete_2,捕まえた。,
[CALL]ArrestingSuspectComplete_3,容疑者を確保。,
[CALL]ArrestingSuspectComplete_4,容疑者に手錠をかけた、身柄確保。,
[CALL]ArrestingSuspectComplete_5,容疑者を確保した。,
[CALL]ArrestingSuspectMove_0,捕まえた。,
[CALL]ArrestingSuspectMove_1,手錠をかけてる。,
[CALL]ArrestingSuspectMove_2,手錠をかける。,
[CALL]ArrestingSuspectMove_3,手錠をかけた。,
[CALL]ArrestingSuspectMove_4,命令を実行中。,
[CALL]ArrestingSuspect_0,いい訓練だ。,
[CALL]ArrestingSuspect_1,手錠をかけてる。,
[CALL]ArrestingSuspect_10,心配ない、この手錠は警察署までの無料乗車券付きだ。,
[CALL]ArrestingSuspect_11,お前には黙秘権がある。供述は法廷で不利な証拠として用いられる場合がある。,
[CALL]ArrestingSuspect_12,諦めるのが賢い選択だったな。,
[CALL]ArrestingSuspect_13,動くなよ。いいな？,
[CALL]ArrestingSuspect_14,お前には黙秘権がある。,
[CALL]ArrestingSuspect_15,素直に従えば全てはスムーズに行く。,
[CALL]ArrestingSuspect_16,動くな。,
[CALL]ArrestingSuspect_17,静かにしてろ。,
[CALL]ArrestingSuspect_18,手のひら同士をくっ付けろ。,
[CALL]ArrestingSuspect_19,手は首の後ろだ。,
[CALL]ArrestingSuspect_2,動くなよ。,
[CALL]ArrestingSuspect_3,暴れないでくれよ。,
[CALL]ArrestingSuspect_4,動くな。,
[CALL]ArrestingSuspect_5,外れない。,
[CALL]ArrestingSuspect_6,じっとしてろ。,
[CALL]ArrestingSuspect_7,捕まえた。,
[CALL]ArrestingSuspect_8,これをつける。,
[CALL]ArrestingSuspect_9,妙な気を起こすなよ。,
[CALL]BleedoutBreath_0,（荒い息遣い）,
[CALL]BleedoutBreath_1,（荒い息遣い）,
[CALL]BleedoutBreath_2,（荒い息遣い）,
[CALL]BlockedByPlayer_0,通れません。,
[CALL]BlockedByPlayer_1,どいてください。,
[CALL]BlockedByPlayer_2,通れません、チーフ。,
[CALL]BlockedByPlayer_3,そこは自分の場所です。,
[CALL]BlockedByPlayer_4,移動しますか？,
[CALL]BlockedByPlayer_5,脇にずれてください。,
[CALL]BlockedByPlayer_6,どいてください。,
[CALL]BlueOccupiesDoorS_0,ブルーチームに任せろ。,
[CALL]BlueOccupiesDoorS_1,ブルーチームに任せろ。,
[CALL]BlueOccupiesDoorS_2,そこはブルーチームに任せろ。,
[CALL]BlueOccupiesDoorS_3,あのドアはブルーチームに取られた。,
[CALL]BlueOccupiesDoor_0,ブルーチームに任せろ。,
[CALL]BlueOccupiesDoor_1,ブルーチームに任せろ。,
[CALL]BlueOccupiesDoor_2,そこはブルーチームに任せろ。,
[CALL]BlueOccupiesDoor_3,あのドアはブルーチームに取られた。,
[CALL]BorderPatrolS_0,隅々まで確認すべきだ。,
[CALL]BorderPatrolS_1,隠れ場が沢山あるな。,
[CALL]BorderPatrolS_2,しっかり見てろ。何も見逃すな。,
[CALL]BorderPatrol_0,隅々まで確認すべきだ。,
[CALL]BorderPatrol_1,隠れ場が沢山あるな。,
[CALL]BorderPatrol_2,しっかり見張ってろよ。前に俺の横をすり抜けたヤツがいたんだ。,
[CALL]BreachDone_0,突入！,
[CALL]BreachDone_1,今行く。,
[CALL]BreachDone_2,中に入るぞ！,
[CALL]BreachDone_3,中に入るぞ！,
[CALL]BreachDone_4,入るぞ！,
[CALL]BreachDone_5,行くぞ！,
[CALL]BreachDone_6,行け、行け、行け！,
[CALL]BreacherS_0,出し抜いてやれ。,
[CALL]BreacherS_1,奴らを驚かせてやろう。,
[CALL]BreacherS_2,奇襲をかけるぞ。,
[CALL]Breacher_0,先手を打とう。,
[CALL]Breacher_1,奴らを驚かせてやろう。,
[CALL]Breacher_2,そろそろ行こう。,
[CALL]C2Placed_0,爆発物よし。,
[CALL]C2Placed_1,突入準備よし。,
[CALL]C2Placed_2,準備よし。パーティーの時間だ。,
[CALL]C2Placed_3,配置した。準備よし。,
[CALL]C2Placed_4,準備完了。耳をふさげ。,
[CALL]C2Placed_5,派手にかますぞ。,
[CALL]C2Placed_6,ドカーンだ！いいぞ。,
[CALL]CollectEvidenceMoveS_0,回収する。,
[CALL]CollectEvidenceMoveS_1,回収する。,
[CALL]CollectEvidenceMoveS_2,梱包する。,
[CALL]CollectEvidenceMoveS_3,回収する。,
[CALL]CollectEvidenceMoveS_4,回収した。,
[CALL]CollectEvidenceMoveS_5,梱包する。,
[CALL]CollectEvidenceMove_0,回収する。,
[CALL]CollectEvidenceMove_1,回収する。,
[CALL]CollectEvidenceMove_2,梱包する。,
[CALL]CollectEvidenceMove_3,回収する。,
[CALL]CollectEvidenceMove_4,回収した。,
[CALL]CollectEvidenceMove_5,戻そう。,
[CALL]CollectEvidence_0,証拠品を確保。,
[CALL]CollectEvidence_1,証拠品準備よし。,
[CALL]CollectEvidence_2,準備よし。,
[CALL]CollectEvidence_3,確保。,
[CALL]CollectEvidence_4,仕舞った。,
[CALL]CollectEvidence_5,回収中。,
[CALL]CollectEvidence_6,回収した。,
[CALL]CollectEvidence_7,確保中。,
[CALL]CoverAreaS_0,何も見当たらない。,
[CALL]CoverAreaS_1,ここには何もありません。,
[CALL]CoverAreaS_2,こっちはクリアリング完了、ボス。,
[CALL]CoverAreaS_3,こっちは外れだ。接触なし。,
[CALL]CoverAreaS_4,何もない。,
[CALL]CoverAreaS_5,ここは大丈夫だ。,
[CALL]CoverArea_0,何も見当たらない。,
[CALL]CoverArea_1,ここには何もありません。,
[CALL]CoverArea_2,こっちはクリアリング完了、ボス。,
[CALL]CoverArea_3,こっちは外れだ。接触なし。,
[CALL]CoverArea_4,何もない。,
[CALL]CoverArea_5,ここは大丈夫だ。,
[CALL]Death_0,（悲鳴）,
[CALL]Death_1,（悲鳴）,
[CALL]Death_10,（悲鳴）,
[CALL]Death_11,（悲鳴）,
[CALL]Death_2,（悲鳴）,
[CALL]Death_3,（悲鳴）,
[CALL]Death_4,（悲鳴）,
[CALL]Death_5,（悲鳴）,
[CALL]Death_6,（悲鳴）,
[CALL]Death_7,（悲鳴）,
[CALL]Death_8,（悲鳴）,
[CALL]Death_9,（悲鳴）,
[CALL]DisarmTrap_0,了解。対応中。,
[CALL]DisarmTrap_1,回収した。,
[CALL]DisarmTrap_2,これは任せろ。,
[CALL]DisarmTrap_3,装置を解除する。,
[CALL]DisarmTrap_4,解除中。,
[CALL]DisarmTrap_5,任せてくれ。,
[CALL]DisarmTrap_6,解除中。,
[CALL]DisarmTrap_7,解除中。,
[CALL]DisarmTrap_8,対処した,
[CALL]DoorLockPicked_0,開錠完了。準備よし。,
[CALL]DoorLockPicked_1,準備よし。,
[CALL]DoorLockPicked_2,開いた。,
[CALL]DoorLockPicked_3,完了。問題なし。,
