Key,Dialogue,Context
[BARK]Arrested_0,ああ、クソ！,
[BARK]Arrested_1,私立探偵だ！,
[BARK]Arrested_10,大きな間違いだぞ！,
[BARK]Arrested_11,どうにでもしろ！話すもんか！,
[BARK]Arrested_12,その程度か？,
[BARK]Arrested_13,ここで何をしてるんだ？,
[BARK]Arrested_2,貸しを回収してるんだ！,
[BARK]Arrested_3,取立てに来たんだ。何も問題ない。,
[BARK]Arrested_4,ボスを呼んでくれ。名前はアモス・ヴォールだ。説明してくれる。,
[BARK]Arrested_5,ブリックスリーに用があって来た。奴はどこだ？,
[BARK]Arrested_6,用があって来たんだ！,
[BARK]Arrested_7,取立てに来たんだ。もう行っていいか？,
[BARK]Arrested_8,外せ、クソ野郎！,
[BARK]Arrested_9,クソ野郎！,
[BARK]ArrestIdle_0,あそこで何か誤解があったと思うんだ。,
[BARK]ArrestIdle_1,なあ、見逃してくれよ。見なかったことにしてくれ。,
[BARK]ArrestIdle_2,来た時に何をしてたかは、あんたたちとは関係ない。,
[BARK]ArrestIdle_3,みんな少しピリピリし過ぎてるんじゃないか？,
[BARK]ArrestIdle_4,何も知らない。,
[BARK]ArrestIdle_5,取立てに来たんだ。タイミングが悪かったようだ。,
[BARK]ArrestIdle_6,住所を間違えたかな。,
[BARK]ArrestIdle_7,誰かがあんたたちにイタズラ電話をしたんだろう。,
[BARK]Bashed_0,（うめき声）,
[BARK]Bashed_1,（うめき声）,
[BARK]Bashed_2,（うめき声）,
[BARK]Bashed_3,（うめき声）,
[BARK]Bashed_4,（うめき声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Compliant_0,銃は下ろした、撃たないでくれ！,
[BARK]Compliant_1,下ろすよ！,
[BARK]Compliant_10,分かった、撃つな！,
[BARK]Compliant_11,分かった、撃つな！,
[BARK]Compliant_12,銃を下ろすよ！,
[BARK]Compliant_13,分かったよ！,
[BARK]Compliant_2,動かない！,
[BARK]Compliant_3,降参する！,
[BARK]Compliant_4,分かったよ、こっちが悪い。,
[BARK]Compliant_5,こっちが悪いんだろ。,
[BARK]Compliant_6,クソ、降参する！,
[BARK]Compliant_7,負けだよ。聞こえたか？負けだ。,
[BARK]Compliant_8,分かった、分かった。終わりだ！,
[BARK]Compliant_9,クソ、殺さないで！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]FellowAIKilled_0,クソ！立て！,
[BARK]FellowAIKilled_1,立て！おい！死ぬな！,
[BARK]FellowAIKilled_2,圧迫するんだ！,
[BARK]FellowAIKilled_3,どこを撃たれた？,
[BARK]FellowAIKilled_4,クソ！,
[BARK]Flashed_0,ああ、目が！,
[BARK]Flashed_1,ああ、クソ！クソ！,
[BARK]Flashed_2,クソ、何も見えない！,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]HeardSWAT_0,クソ！誰かいる！,
[BARK]HeardSWAT_1,誰だ？,
[BARK]HeardSWAT_2,何なんだ？,
[BARK]HeardSWAT_3,誰だ？,
[BARK]HeardSWAT_4,出てこい！,
[BARK]HeardSWAT_5,今のは何だ？,
[BARK]Hesitating_0,ああ、クソ。,
[BARK]Hesitating_1,クソ。,
[BARK]Hesitating_2,クソ！,
[BARK]Hesitating_3,早く何とかしないと！,
[BARK]IdleAlly_0,ブリックスリーはどこにいるんだ？,
