Key,Dialogue,Context
[BARK]Arrested_0,何もないって。,
[BARK]Arrested_1,ただのハッパだ。,
[BARK]Arrested_10,あげてもいい。だから見逃してくれないか？,
[BARK]Arrested_11,全部やるから見逃してくれ！,
[BARK]Arrested_12,保護観察官にバレたら終わりだ。,
[BARK]Arrested_13,ちょっと作り過ぎたんだ。,
[BARK]Arrested_14,一度しかやってない。,
[BARK]Arrested_15,他には誰もいないよ。,
[BARK]Arrested_16,売るつもりはなかった。,
[BARK]Arrested_17,何とかしようとは思ったんだ。,
[BARK]Arrested_18,潔白だよ。どれも俺のじゃない。,
[BARK]Arrested_19,いくらで見逃してくれる？,
[BARK]Arrested_2,全部合法だ。,
[BARK]Arrested_20,いくらでも送金するよ。,
[BARK]Arrested_21,見逃してくれるなら金を払う。,
[BARK]Arrested_22,刑務所に戻るわけにはいかない。,
[BARK]Arrested_23,刑務所に戻るわけにはいかないんだ。,
[BARK]Arrested_24,刑務所に戻るわけにはいかない。,
[BARK]Arrested_25,刑務所に戻るわけにはいかない。,
[BARK]Arrested_26,刑務所に戻るわけにはいかない。,
[BARK]Arrested_27,いいか、もう終わらせたいんだ。,
[BARK]Arrested_28,分かったよ、俺が悪い。,
[BARK]Arrested_3,俺のじゃない。持ってただけだ。,
[BARK]Arrested_4,令状は持ってるのか？,
[BARK]Arrested_5,令状はあるのか？,
[BARK]Arrested_6,令状を取れ！,
[BARK]Arrested_7,時間の無駄だ。俺は何も持ってない。,
[BARK]Arrested_8,処方箋って聞いたことないか？,
[BARK]Arrested_9,ここのことは誰に聞いた？,
[BARK]Compliant_0,まったく、もういい。,
[BARK]Compliant_1,落ち着けよ。,
[BARK]Compliant_10,もうふざけるのはヤメるって。,
[BARK]Compliant_11,もうふざけるのはヤメるって。,
[BARK]Compliant_12,分かったよ、もうふざけないから。,
[BARK]Compliant_13,わかったよ、もうヤメだ。あんたの勝ちだ。,
[BARK]Compliant_2,わかった、わかった！,
[BARK]Compliant_3,撃つな。,
[BARK]Compliant_4,何もする気はない！,
[BARK]Compliant_5,撃つな、何もしないから。,
[BARK]Compliant_6,降参だ！,
[BARK]Compliant_7,おっと、分かったよ！,
[BARK]Compliant_8,わかった、もう何もしないよ。,
[BARK]Compliant_9,わかった、もう何もしないよ。,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_20,（悲鳴）,
