Key,Dialogue,Context
[BARK]Arrested_0,何なんだよ。,
[BARK]Arrested_1,クソッ！,
[BARK]Arrested_10,何で逮捕されなきゃならないんだ！これは薬だ！,
[BARK]Arrested_11,何するんだよ？処方箋があるんだぞ！,
[BARK]Arrested_12,俺はメタドンを摂取してるんだ！ちゃんと処方されてるやつだ！,
[BARK]Arrested_13,俺の行きつけの薬局に電話してみろ！そうすりゃわかるさ！,
[BARK]Arrested_14,医者に電話させてくれよ。何もかも説明してもらうから。,
[BARK]Arrested_15,友達から何かもらっていたところだったんだ。,
[BARK]Arrested_16,友達がここに住んでるんだ！,
[BARK]Arrested_17,俺たちはブラブラしてただけだ。,
[BARK]Arrested_18,必要なんだよ！俺は今、退薬中なんだ！,
[BARK]Arrested_19,俺は深刻な問題を抱えてる。助けを求めようとしたんだ。,
[BARK]Arrested_2,ちょっと待ってくれ。すぐ近くにクリニックがある。早く連れて行ってくれれば、何の問題もない。,
[BARK]Arrested_20,少ししかもらえなかったんだ。,
[BARK]Arrested_21,俺のためのものじゃない。,
[BARK]Arrested_22,それが何なのか知らなかったんだ。,
[BARK]Arrested_23,俺はここに住んでもいないんだ！,
[BARK]Arrested_24,俺はここに住んでもいないんだ。頼むから、放してくれ。,
[BARK]Arrested_25,俺は深刻な退薬問題を抱えているんだ。これしか方法がない。,
[BARK]Arrested_26,医者もクリニックも誰も助けてちゃくれない。,
[BARK]Arrested_27,注射器だって持ってない。,
[BARK]Arrested_3,友達を訪ねてきただけなんだ！,
[BARK]Arrested_4,俺はヤク中じゃない！,
[BARK]Arrested_5,パーティーをしていただけだ。ここには何もない。,
[BARK]Arrested_6,違う、俺は売人なんかじゃない！,
[BARK]Arrested_7,俺はそそのかされたんだ！,
[BARK]Arrested_8,処方箋を持ってる！,
[BARK]Arrested_9,頼むよ、すべては誤解なんだ。,
[BARK]Bashed_0,（苦痛に満ちた叫び声）,
[BARK]Bashed_1,（苦痛に満ちた叫び声）,
[BARK]Bashed_2,（苦痛に満ちた叫び声）,
[BARK]Bashed_3,（苦痛に満ちた叫び声）,
[BARK]Bashed_4,（苦痛に満ちた叫び声）,
[BARK]Bashed_5,（苦痛に満ちた叫び声）,
[BARK]Bashed_6,（苦痛に満ちた叫び声）,
[BARK]Bashed_7,（苦痛に満ちた叫び声）,
[BARK]Bashed_8,（苦痛に満ちた叫び声）,
[BARK]Bashed_9,（苦痛に満ちた叫び声）,
[BARK]Compliant_0,落ち着けよ、ボス。俺は貧血なんだ。,
[BARK]Compliant_1,落ち着けって、ボス。,
[BARK]Compliant_2,問題ありません。,
[BARK]Compliant_3,わかった、わかった。,
[BARK]Compliant_4,わかったから、乱暴はしないでくれ。,
[BARK]Compliant_5,トラブルはごめんだ。,
[BARK]Compliant_6,ボス、俺は問題を起こすつもりはない。,
[BARK]Compliant_7,必要なことは何でもするよ。,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]FellowAIKilled_0,クソ、ずっと家にいりゃよかった。,
[BARK]FellowAIKilled_1,クソ。,
[BARK]FellowAIKilled_2,こんな目に遭う価値はない。,
[BARK]FellowAIKilled_3,殺しやがった！,
[BARK]FellowAIKilled_4,あいつは何もしていないのに！,
