Key,Dialogue,Context
[BARK]Arrested_0,もっと大きな大義のためだってわかんねえのか？,
[BARK]Arrested_1,もっと大きな大義のためだってわかんねえのか？,
[BARK]Arrested_10,頼むから！放してくれよ。もう問題は起こさない。約束する。,
[BARK]Arrested_11,違法なことは何もねえよ！,
[BARK]Arrested_12,あんたらに言うことは何もない。,
[BARK]Arrested_13,あんたらに言うことは何もない。,
[BARK]Arrested_14,あんたらに言うことは何もない。,
[BARK]Arrested_15,あんたが仕えてる奴らは...とんでもなく邪悪だ。,
[BARK]Arrested_16,神に誓って、これで終わりじゃないからな！,
[BARK]Arrested_17,これはやらなくてはならないことなんだ。やるしかないんだ。,
[BARK]Arrested_18,俺たちは農家だ！ただの豆だよ！,
[BARK]Arrested_19,うー、俺たちは農家だ！ただの豆だよ！,
[BARK]Arrested_2,もっと大きな大義のためだってわかんねえのか？,
[BARK]Arrested_20,ここで何をするかは問題じゃない。,
[BARK]Arrested_21,ここで何をするかは問題じゃない。,
[BARK]Arrested_22,全部やるよ。全部持って行け。だから、行かせてくれ！,
[BARK]Arrested_23,クソ野郎ども！おまえらのせいで何もかも台無しだ！,
[BARK]Arrested_24,おまえらのせいで全部台無しだ！,
[BARK]Arrested_25,助けてくれないか？物事を解決するのを手伝ってくれ。,
[BARK]Arrested_26,この件を解決するのを手伝ってくれ！,
[BARK]Arrested_27,おまえも問題の一部なんだよ、このマヌケ！,
[BARK]Arrested_28,奴らは汚い仕事をさせるためにおまえに金を払ってんだろ？,
[BARK]Arrested_29,奴らは汚い仕事をさせるためにおまえに金を払ってんだろ？腐ったクソ野郎どもめ！,
[BARK]Arrested_3,組織ってやつは全部腐ってるんだ。証明してやるよ！,
[BARK]Arrested_30,状況を一掃したければ、その銃を自分に向けるんだな。,
[BARK]Arrested_31,俺たちはここで正しいことをしようとしているだけだ。,
[BARK]Arrested_32,自分が奴らのために働かされてることに気が付かないのか？,
[BARK]Arrested_4,そ、そ、組織ってやつは...全部腐ってるんだ！証明できるぜ！,
[BARK]Arrested_5,その電話に出させてくれないか？,
[BARK]Arrested_6,俺を責められるのか？,
[BARK]Arrested_7,この時点で俺を責めることができるのか？,
[BARK]Arrested_8,そいつに危害を加えるな！そいつは具合が悪いんだ！,
[BARK]Arrested_9,そいつに危害を加えるな！そいつは具合が悪いんだ！,
[BARK]Bashed_0,（苦痛に満ちた叫び声）,
[BARK]Bashed_1,（苦痛に満ちた叫び声）,
[BARK]Bashed_2,（苦痛に満ちた叫び声）,
[BARK]Bashed_3,（苦痛に満ちた叫び声）,
[BARK]Bashed_4,（苦痛に満ちた叫び声）,
[BARK]BashImmune_0,このクソ野郎！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_20,（悲鳴）,
[BARK]Death_21,（悲鳴）,
[BARK]Death_22,（悲鳴）,
[BARK]Death_23,（悲鳴）,
[BARK]Death_24,（悲鳴）,
[BARK]Death_25,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]FellowAIKilled_0,クソ野郎！,
[BARK]FellowAIKilled_1,クソ野郎！,
[BARK]FellowAIKilled_10,ジェリー！,
[BARK]FellowAIKilled_11,なんてこった！,
[BARK]FellowAIKilled_12,なんてこった！,
[BARK]FellowAIKilled_2,ああ、クソ！,
[BARK]FellowAIKilled_3,ジェラルド！,
[BARK]FellowAIKilled_4,ああ、畜生！,
[BARK]FellowAIKilled_5,ああ、クソッ！,
[BARK]FellowAIKilled_6,ああ、クソッ！,
[BARK]FellowAIKilled_7,ジェリー！,
[BARK]FellowAIKilled_8,ああ、クソ！ジェリー！,
[BARK]FellowAIKilled_9,ジェリー！,
[BARK]Flashed_0,ああ、クソ！,
[BARK]Flashed_1,何なんだ？！,
[BARK]Flashed_2,ああ、クソ！,
[BARK]Flashed_3,クソッ！,
[BARK]FlashImmune_0,その程度か？,
[BARK]FlashImmune_1,次はうまくいくといいな、クズ。,
[BARK]FlashImmune_2,俺はもう一歩先を行ってんだよ、クソ野郎！,
[BARK]GasImmune_0,おい、それで精一杯か？,
[BARK]GasImmune_1,来いよ、それがおまえの精一杯か？,
[BARK]GasImmune_2,何持ってんだよ、クズ？,
[BARK]Gassed_0,（咳き込む）,
[BARK]Gassed_1,（咳き込む）,
[BARK]Gassed_2,（咳き込む）,
[BARK]HeardSWAT_0,クソッ！誰かにつけられてたのか？,
[BARK]HeardSWAT_1,クソッ！誰かにつけられてたのか？,
[BARK]HeardSWAT_10,おい、ジェリー、おまえなのか？,
[BARK]HeardSWAT_11,何か聞こえたか？,
[BARK]HeardSWAT_12,おい、今のは何だ？,
