Key,Dialogue,Context
[BARK]Arrested_0,俺は何も言うつもりはないからな！,
[BARK]Arrested_1,こいつを外してくれ。,
[BARK]Arrested_10,褒めてもらえると思ってんのか？,
[BARK]Arrested_11,おまえは何にも知らないんだ！,
[BARK]Arrested_12,くそったれ！,
[BARK]Arrested_13,おまえはクズだ。おまえも同じだ！,
[BARK]Arrested_14,おまえも同じだ。,
[BARK]Arrested_15,おまえはクズだ。,
[BARK]Arrested_2,（うめき）,
[BARK]Arrested_3,弱っちいアメリカ人め。,
[BARK]Arrested_4,臆病者！」,
[BARK]Arrested_5,これはおまえには関係ないことだ！,
[BARK]Arrested_6,放せよ、クソッ！,
[BARK]Arrested_7,放せ！クソッ！,
[BARK]Arrested_8,我々がここにいるのはカダマのためで、それ以外の目的はない。カダマを渡せ」,
[BARK]Arrested_9,やめるつもりはない！,
[BARK]ArrestIdle_0,時間の無駄だ。,
[BARK]ArrestIdle_1,時間の無駄だ。,
[BARK]ArrestIdle_10,愚かな奴らだ。,
[BARK]ArrestIdle_2,もう十分な血が流れた。,
[BARK]ArrestIdle_3,おまえが問題なんだ。,
[BARK]ArrestIdle_4,こうなったのはおまえのせいだ。,
[BARK]ArrestIdle_5,自業自得だ。,
[BARK]ArrestIdle_6,おまえは間違った側にいる。,
[BARK]ArrestIdle_7,これが終わったら、俺たちが正しかったことがわかるだろう。,
[BARK]ArrestIdle_8,おまえたちは間違った人たちを守っているんだ。,
[BARK]ArrestIdle_9,今度こそ、そのメッセージが伝わるかもしれない。,
[BARK]Bashed_0,（うめき）,
[BARK]Bashed_1,（うめき）,
[BARK]Bashed_10,（うめき）,
[BARK]Bashed_2,（うめき）,
[BARK]Bashed_3,（うめき）,
[BARK]Bashed_4,（うめき）,
[BARK]Bashed_5,（うめき）,
[BARK]Bashed_6,（うめき）,
[BARK]Bashed_7,（うめき）,
[BARK]Bashed_8,（うめき）,
[BARK]Bashed_9,（うめき）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Compliant_0,（笑い）,
[BARK]Compliant_1,降伏する！,
[BARK]Compliant_10,もうたくさんだ！,
[BARK]Compliant_11,もういい！十分だ！,
[BARK]Compliant_2,降伏する！,
[BARK]Compliant_3,わかった、わかった！,
[BARK]Compliant_4,わかった、わかった！,
[BARK]Compliant_5,撃つな！撃たないでくれ！,
[BARK]Compliant_6,降参だ！,
[BARK]Compliant_7,銃は持ってない！,
[BARK]Compliant_8,もうない！もう持ってない！,
[BARK]Compliant_9,腹ばいになる！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]FellowAIKilled_0,クソッ！,
[BARK]FellowAIKilled_1,クソ,
[BARK]FellowAIKilled_2,降りろ！,
[BARK]FellowAIKilled_3,立て！,
[BARK]FellowAIKilled_4,ノー、やめろ！,
[BARK]FellowAIKilled_5,そいつはまだ！,
[BARK]FellowAIKilled_6,動くな！,
[BARK]FellowAIKilled_7,動くな！,
[BARK]Flanking_0,奴らを避けろ！,
[BARK]Flanking_1,隠れろ！,
[BARK]Flanking_2,物陰に隠れろ！,
[BARK]Flanking_3,物陰に隠れろ！,
[BARK]Flanking_4,俺が奴らの邪魔をする！,
[BARK]Flanking_5,奴らを近づかせるな！,
[BARK]Flanking_6,スピードを上げろ,
[BARK]Flashed_0,（悲鳴）,
[BARK]Flashed_1,（悲鳴）,
[BARK]Flashed_2,（悲鳴）,
[BARK]Gassed_0,（咳き込む）,
[BARK]Gassed_1,（咳き込む）,
[BARK]Gassed_2,（咳き込む）,
[BARK]Gassed_3,（咳き込む）,
[BARK]HeardSWAT_0,誰がいるんだ？手伝おうか？,
[BARK]HeardSWAT_1,誰がいるんだ？手伝おうか？,
[BARK]HeardSWAT_2,あれは誰だ？大丈夫だ！,
[BARK]HeardSWAT_3,大丈夫だ。,
[BARK]HeardSWAT_4,はあ？,
[BARK]HeardSWAT_5,あれは何だ？,
[BARK]HeardSWAT_6,あれは何だ？,
[BARK]Hesitating_0,クソ。,
[BARK]Hesitating_1,クソ。,
[BARK]Hesitating_2,ああ、クソ。,
[BARK]Hesitating_3,俺は...えー...,
[BARK]Hesitating_4,ああ。,
[BARK]Hesitating_5,うぅ...その...,
[BARK]HitThePlayer_0,（笑い）,
[BARK]HitThePlayer_1,これでおまえはゆっくり死んでいくんだ。,
[BARK]HitThePlayer_2,これでおまえはゆっくり死んでいくんだ。,
[BARK]HitThePlayer_3,終わりだ。もうこれで。,
[BARK]IdleAlly_0,探し続けろ。,
[BARK]IdleAlly_1,探し続けろ。奴は一人ではないはずだ。,
[BARK]IdleAlly_10,静かに。,
[BARK]IdleAlly_11,まだ何もない。,
[BARK]IdleAlly_12,あまり時間がない。,
[BARK]IdleAlly_13,他の奴らはどうするんだ？,
[BARK]IdleAlly_14,誰かが奴を見たんだ。奴は監視されていた。,
