Key,Dialogue,Context
[BARK]Arrested_0,もういい、クソ！分かった。終わりよ。終わり,
[BARK]Arrested_1,いつもこんなに優しいの？それともこれは特別扱い？,
[BARK]Arrested_10,大物になったつもり？クソ。,
[BARK]Arrested_11,大物になったつもり？クソ。,
[BARK]Arrested_12,これが初めてだと思う？,
[BARK]Arrested_13,ああ！腕が痛いでしょ、クソ野郎！,
[BARK]Arrested_14,ああ！腕が痛いでしょ、クソ野郎！,
[BARK]Arrested_15,お願い、見逃して。母親には私しかいないの。,
[BARK]Arrested_16,お願い、見逃して。,
[BARK]Arrested_17,こんなのないわ。どうやっても逃げられない。,
[BARK]Arrested_18,こんなのないわ。逃げられない。,
[BARK]Arrested_19,助けてよ。1人にしないで。,
[BARK]Arrested_2,もういい、クソ。分かった。終わりよ。終わり。,
[BARK]Arrested_3,黙秘権よ、クソ野郎。,
[BARK]Arrested_4,黙秘権よ、クソ野郎。,
[BARK]Arrested_5,クソ、クソ、クソ！,
[BARK]Arrested_6,何なの？,
[BARK]Arrested_7,クソ、クソ、クソ！,
[BARK]Arrested_8,こんなことしてていいの？,
[BARK]Arrested_9,こんなことしてていいの？,
[BARK]ArrestIdle_0,いっそ殺して。私にはもう何も残ってない。,
[BARK]ArrestIdle_1,これが正しいと思うの？こういうのが好きなの？,
[BARK]ArrestIdle_2,これが正しいと思うの？こういうのが好きなの？,
[BARK]ArrestIdle_3,どうぞ。好きにしてよ、クソ野郎。,
[BARK]ArrestIdle_4,捕まるのはあんたたちよ。,
[BARK]ArrestIdle_5,捕まるのはあんたたちよ。,
[BARK]ArrestIdle_6,心配ないわ。私には友達がいる。銃を持った友達がね。,
[BARK]ArrestIdle_7,分かった。仕事があるのね。,
[BARK]Compliant_0,分かった、降参する。,
[BARK]Compliant_1,分かった、降参する。,
[BARK]Compliant_10,クソ、武器は持ってない！,
[BARK]Compliant_11,クソ、武器は持ってない！,
[BARK]Compliant_12,もう耐えられない。手錠をかけてよ。,
[BARK]Compliant_13,もう耐えられない。手錠をかけてよ。,
[BARK]Compliant_14,降参よ。クソ。,
[BARK]Compliant_15,降参よ。クソ。,
[BARK]Compliant_16,降参する、本当よ！クソ。,
[BARK]Compliant_17,降参する、本当よ！クソ。,
[BARK]Compliant_18,降参してるでしょ？優しくして。,
[BARK]Compliant_19,降参してるでしょ？優しくして。,
[BARK]Compliant_2,捨てたでしょ。撃たないで。,
[BARK]Compliant_20,クソ、まあいいわ。こういうことには向いてない。,
[BARK]Compliant_21,クソ、まあいいわ。こういうことには向いてない。,
[BARK]Compliant_3,捨てたでしょ。撃たないで。,
[BARK]Compliant_4,ちょっと、手を見せてるでしょ？,
[BARK]Compliant_5,銃はもうない。撃たないで。,
[BARK]Compliant_6,手を上げてる！従うから。,
[BARK]Compliant_7,手を上げて従うから。,
[BARK]Compliant_8,分かったから撃たないで。,
[BARK]Compliant_9,分かったから撃たないで。,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_20,（悲鳴）,
[BARK]Death_21,（悲鳴）,
[BARK]Death_22,（悲鳴）,
[BARK]Death_23,（悲鳴）,
[BARK]Death_24,（悲鳴）,
[BARK]Death_25,（悲鳴）,
[BARK]Death_26,（悲鳴）,
[BARK]Death_27,（悲鳴）,
[BARK]Death_28,（悲鳴）,
[BARK]Death_29,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_30,（悲鳴）,
[BARK]Death_31,（悲鳴）,
[BARK]Death_32,（悲鳴）,
[BARK]Death_33,ウソでしょ！,
[BARK]Death_34,（悲鳴）,
[BARK]Death_35,（悲鳴）,
[BARK]Death_36,（悲鳴）,
[BARK]Death_37,（悲鳴）,
[BARK]Death_38,（悲鳴）,
[BARK]Death_39,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_40,（悲鳴）,
[BARK]Death_41,（悲鳴）,
[BARK]Death_42,（悲鳴）,
[BARK]Death_43,（悲鳴）,
