Key,Dialogue,Context
[BARK]Arrested_0,仕事を失うわけにはいかない！出費がたくさんあるのよ！,
[BARK]Arrested_1,こんなことしないで！私、子供が3人いるの！,
[BARK]Arrested_10,これはきっと何かの間違いだわ！ここは郵便局なのよ！,
[BARK]Arrested_11,お願い、放して！お願いよ！,
[BARK]Arrested_12,何が起こったのか分からないわ！,
[BARK]Arrested_2,私が何したっていうの？,
[BARK]Arrested_3,私、何もしてないわ！ジャックに聞いて！,
[BARK]Arrested_4,これって何？,
[BARK]Arrested_5,痛い、やめて！,
[BARK]Arrested_6,お願い、やめて！,
[BARK]Arrested_7,何が起こってるの？,
[BARK]Arrested_8,何も知らないわ、本当よ！,
[BARK]Arrested_9,私は何一つ関わっていないわ！,
[BARK]ArrestIdle_0,あなたには何も言わないわ。,
[BARK]ArrestIdle_1,これは何かの違いよ！,
[BARK]ArrestIdle_2,私は何にも関わっていないわ！,
[BARK]ArrestIdle_3,あの人たちが誰かは知らない！彼らはただ急に入ってきて…,
[BARK]ArrestIdle_4,フロントで荷物の仕分けをしているの。自分の仕事をしているだけよ。,
[BARK]ArrestIdle_5,お願い！放して！,
[BARK]ArrestIdle_6,家に帰らないと！子供たちのところに帰らないと！,
[BARK]ArrestIdle_7,刑務所には行けないわ！お願い！,
[BARK]ArrestIdle_8,私、悪い人間じゃないのよ！,
[BARK]Bashed_0,（苦痛に満ちた叫び声）,
[BARK]Bashed_1,（苦痛に満ちた叫び声）,
[BARK]Bashed_2,（苦痛に満ちた叫び声）,
[BARK]Bashed_3,（苦痛に満ちた叫び声）,
[BARK]Bashed_4,（苦痛に満ちた叫び声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Breathing_3,（荒い息遣い）,
[BARK]Compliant_0,お願い、乱暴はやめて！悪いことは何もしていないわ！,
[BARK]Compliant_1,わかった、わかったわ！,
[BARK]Compliant_10,聞いてるわ！,
[BARK]Compliant_2,死にたくない！,
[BARK]Compliant_3,ちゃんと説明するから！,
[BARK]Compliant_4,銃なんて持ってない！,
[BARK]Compliant_5,銃を下ろすから、撃たないで！,
[BARK]Compliant_6,私は犯罪者じゃない！,
[BARK]Compliant_7,助けて！,
[BARK]Compliant_8,早く！,
[BARK]Compliant_9,撃たないで！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]FellowAIKilled_0,（悲鳴）,
[BARK]FellowAIKilled_1,いやっ！お願い、やめて！,
[BARK]FellowAIKilled_2,いやだ、いやだ！,
[BARK]Flashed_0,（苦痛に満ちた叫び声）,
[BARK]Flashed_1,目が！,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]HeardSWAT_0,来ないで！,
[BARK]HeardSWAT_1,誰？,
[BARK]HeardSWAT_2,誰？,
[BARK]HeardSWAT_3,ここよ、助けて！,
[BARK]HeardSWAT_4,まさか！,
[BARK]HeardSWAT_5,まさか！,
[BARK]Hesitating_0,えっと…,
[BARK]Hesitating_1,私は…えっと…,
[BARK]Hesitating_2,私…私は…,
[BARK]Hesitating_3,ああ、もう！,
[BARK]IdleAlly_0,何が起こったの？,
[BARK]IdleAlly_1,どうしたらいいの？！,
[BARK]IdleAlly_2,ここにいて、あの人たちに殺されてしまうわ！,
[BARK]IdleAlly_3,あの人たちは誰なの？！,
[BARK]IdleEnemy_0,（スペイン語で話している）,
[BARK]IdleEnemy_1,お願い、やめて！子供がいるの！,
[BARK]IdleEnemy_2,あなたたちは誰？何が目的？！,
[BARK]IdleEnemy_3,（スペイン語で話している）,
[BARK]IdleSelf_0,（スペイン語で話している）,
[BARK]IdleSelf_1,（スペイン語で話している）,
[BARK]IdleSelf_2,（スペイン語で話している）,
[BARK]IdleSelf_3,（スペイン語で話している）,
[BARK]Immune_0,気が狂ってる！,
[BARK]Immune_1,何をしてるの？！,
[BARK]IncapIdle_0,（苦し気なうめき声）,
[BARK]IncapIdle_1,（苦し気なうめき声）,
[BARK]IncapIdle_2,（苦し気なうめき声）,
[BARK]NonCompliant_0,何もしてないわ！,
[BARK]NonCompliant_1,お願い、私の話を聞いて！,
[BARK]NonCompliant_10,最低！,
[BARK]NonCompliant_2,絶対に刑務所には行かないわ！,
[BARK]NonCompliant_3,いやっ！,
[BARK]NonCompliant_4,いやっ！,
[BARK]NonCompliant_5,私、これとは何一つ関わっていないわ！,
[BARK]NonCompliant_6,私は何にも関わっていないわ！,
[BARK]NonCompliant_7,（スペイン語で話している）,
[BARK]NonCompliant_8,正気なの？！,
[BARK]NonCompliant_9,このプタ！,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]Pain_1,（苦痛に満ちた叫び声）,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Pain_3,（苦痛に満ちた叫び声）,
[BARK]Pain_4,（苦痛に満ちた叫び声）,
[BARK]PickedUp_0,（苦痛に満ちた叫び声）,
[BARK]PickedUp_1,（うめき）,
[BARK]PickedUp_2,（苦痛に満ちた叫び声）,
[BARK]PickedUp_3,お願い、刑務所に連れて行かないで！,
[BARK]PickedUp_4,お願い、ここから連れ出して！,
[BARK]PlayerSeen_0,助けて！,
[BARK]PlayerSeen_1,（怯えた叫び声）,
[BARK]PlayerSeen_2,（怯えた叫び声）,
[BARK]PlayerSeen_3,私を助けに来てくれたの？！,
[BARK]Stunned_0,（苦痛に満ちた叫び声）,
[BARK]Stunned_1,（苦痛に満ちた叫び声）,
[BARK]Tased_0,（苦痛に満ちた叫び声）,
[BARK]Tased_1,（苦痛に満ちた叫び声）,
[REPLY]Fleeing_0,お願い、行かないで！,
[REPLY]Fleeing_1,待って！,
[REPLY]Fleeing_2,置いていかないで！,
[REPLY]Fleeing_3,外に逃げて、助けを呼んで！,
[REPLY]Shooting_0,（怯えた叫び声）,
[REPLY]Shooting_1,撃たないで！,
[REPLY]Shooting_2,撃つのをやめて！,
[REPLY]Shooting_3,ありえないわ！！！,
[TELL]Fleeing_0,助けて！,
[TELL]Fleeing_1,チッ！,
[TELL]Fleeing_2,ありえないわ！,
