Key,Dialogue,Context
[BARK]Arrested_0,何なんだよ。,
[BARK]Arrested_1,クソッ！,
[BARK]Arrested_10,頼むよ、全部誤解なんだ。,
[BARK]Arrested_11,何で逮捕されなきゃならないんだ！これは薬だよ！,
[BARK]Arrested_12,何するんだよ？処方箋だってあるんだ。,
[BARK]Arrested_13,俺はメタドンを飲んでるんだ！ちゃんと処方されてるやつだ！,
[BARK]Arrested_14,俺の行きつけの薬局に電話すりゃわかるよ。,
[BARK]Arrested_15,医者に電話させてくれよ。何もかも説明してもらうから。,
[BARK]Arrested_16,友達から何かもらっていたところだったんだ！,
[BARK]Arrested_17,これは友達のリズ。2人でブラブラしてただけだ。,
[BARK]Arrested_18,それは必要なものなんだ！今、退薬中なんだよ！,
[BARK]Arrested_19,俺はこの件とは何の関係もない！,
[BARK]Arrested_2,ちょっと待ってくれ。すぐ近くにクリニックがある。すぐにそこへ連れてってくれれば、問題解決だ。,
[BARK]Arrested_20,ここに何があるかなんて知らなかったんだ。,
[BARK]Arrested_21,少ししかもらえなかったんだ。,
[BARK]Arrested_22,俺のためのものじゃない。,
[BARK]Arrested_23,そいつが何なのか知らなかったんだ。,
[BARK]Arrested_24,俺はここに住んでもいないんだ。頼むから、放してくれ。,
[BARK]Arrested_25,俺は深刻な退薬問題を抱えているんだ。これしか方法がない。,
[BARK]Arrested_26,どの医者もクリニックも助けてくれなかった。,
[BARK]Arrested_27,また逮捕されるわけにはいかないんだ。,
[BARK]Arrested_3,友達を訪ねてきただけなんだ！,
[BARK]Arrested_4,俺はヤク中じゃない。,
[BARK]Arrested_5,パーティーをしていただけだ。ここには何もない！,
[BARK]Arrested_6,俺は売人じゃない。,
[BARK]Arrested_7,違う、違う、俺はあんたが探してる奴じゃない！,
[BARK]Arrested_8,俺はそそのかされたんだ！,
[BARK]Arrested_9,処方箋を持ってる。,
[BARK]CallOutForHelp_0,くそったれ！,
[BARK]CallOutForHelp_1,クソ...行かないと！,
[BARK]CallOutForHelp_2,ここには子供がいるんだ！,
[BARK]CallOutForHelp_3,ここには子供がいるんだ！,
[BARK]Compliant_0,俺はこの件とは無関係だ！,
[BARK]Compliant_1,落ち着けって、ボス。,
[BARK]Compliant_2,落ち着けよ、ボス。俺は貧血なんだ。,
[BARK]Compliant_3,問題ありませんよ。,
[BARK]Compliant_4,わかった、わかった！,
[BARK]Compliant_5,わかったから、乱暴はしないでくれ。,
[BARK]Compliant_6,トラブルはごめんだ。,
[BARK]Compliant_7,ボス、俺は問題を起こすつもりはない。,
[BARK]Compliant_8,ボス、俺は問題を起こすつもりはない。,
[BARK]Compliant_9,必要なことは何でもするよ。,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_20,（悲鳴）,
[BARK]Death_21,（悲鳴）,
[BARK]Death_22,（悲鳴）,
[BARK]Death_23,（悲鳴）,
[BARK]Death_24,（悲鳴）,
[BARK]Death_25,（悲鳴）,
[BARK]Death_26,（悲鳴）,
[BARK]Death_27,（悲鳴）,
[BARK]Death_28,（悲鳴）,
[BARK]Death_29,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_30,（悲鳴）,
[BARK]Death_31,（悲鳴）,
[BARK]Death_32,（悲鳴）,
[BARK]Death_33,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
