Key,Dialogue,Context
[CALL]ArrestingCivilianComplete_0,民間人の移送準備よし。,
[CALL]ArrestingCivilianComplete_1,民間人に手錠をかけた、準備よし。,
[CALL]ArrestingCivilianComplete_2,後続班の準備よし。,
[CALL]ArrestingCivilianComplete_3,救護の準備よし。,
[CALL]ArrestingCivilianComplete_4,民間人の準備よし。,
[CALL]ArrestingCivilianComplete_5,準備よし。,
[CALL]ArrestingCivilianComplete_6,手錠をかけた！,
[CALL]ArrestingCivilianComplete_7,手錠をかけた、準備よし。,
[CALL]ArrestingCivilianMove_0,身柄を確保する！,
[CALL]ArrestingCivilianMove_1,手錠をかける。,
[CALL]ArrestingCivilianMove_2,準備する。,
[CALL]ArrestingCivilian_0,身柄を確保する。,While handcuffing someone - Civilian
[CALL]ArrestingCivilian_1,手錠をかける。,While handcuffing someone - Civilian
[CALL]ArrestingCivilian_10,民間人の準備よし。,While handcuffing someone - Civilian
[CALL]ArrestingCivilian_11,準備よし。,While handcuffing someone - Civilian
[CALL]ArrestingCivilian_12,手錠をかけた。,While handcuffing someone - Civilian
[CALL]ArrestingCivilian_13,手錠をかけた、準備よし。,While handcuffing someone - Civilian
[CALL]ArrestingCivilian_2,準備する。,While handcuffing someone - Civilian
[CALL]ArrestingCivilian_3,民間人の移送準備よし。,While handcuffing someone - Civilian
[CALL]ArrestingCivilian_4,民間人に手錠をかけた、準備よし。,While handcuffing someone - Civilian
[CALL]ArrestingCivilian_5,すまんな、リスクはとれないんだ。,While handcuffing someone - Civilian
[CALL]ArrestingCivilian_6,大丈夫だ。,While handcuffing someone - Civilian
[CALL]ArrestingCivilian_7,警察だ、とりあえず落ち着け。,While handcuffing someone - Civilian
[CALL]ArrestingCivilian_8,後続班の準備よし。,While handcuffing someone - Civilian
[CALL]ArrestingCivilian_9,救護の準備よし。,While handcuffing someone - Civilian
[CALL]ArrestingSuspectComplete_0,容疑者の移送準備よし。,
[CALL]ArrestingSuspectComplete_1,やつらを全員、拘束した。,
[CALL]ArrestingSuspectComplete_2,拘束して準備よし。,
[CALL]ArrestingSuspectComplete_3,容疑者に手錠をかけた、身柄確保。,
[CALL]ArrestingSuspectComplete_4,仕留めた！,
[CALL]ArrestingSuspectComplete_5,移送準備よし。,
[CALL]ArrestingSuspectComplete_6,すべて完了した。,
[CALL]ArrestingSuspectMove_0,やつを確保。,
[CALL]ArrestingSuspectMove_1,拘束中。,
[CALL]ArrestingSuspectMove_2,手錠をかけてる。,
[CALL]ArrestingSuspectMove_3,手錠をかけてる。,
[CALL]ArrestingSuspectMove_4,手錠をかけた。,
[CALL]ArrestingSuspect_0,容疑者の移送準備よし。,While handcuffing someone - Suspect
[CALL]ArrestingSuspect_1,やつらを全員、拘束した。,While handcuffing someone - Suspect
[CALL]ArrestingSuspect_10,動くな、じっとしてろ。,While handcuffing someone - Suspect
[CALL]ArrestingSuspect_11,やつらを確保。,While handcuffing someone - Suspect
[CALL]ArrestingSuspect_12,手錠をかける。,While handcuffing someone - Suspect
[CALL]ArrestingSuspect_13,手錠をかける。,While handcuffing someone - Suspect
[CALL]ArrestingSuspect_14,手錠をかけた。,While handcuffing someone - Suspect
[CALL]ArrestingSuspect_15,この手錠は外すつもりはない、だから諦めろ。,While handcuffing someone - Suspect
[CALL]ArrestingSuspect_16,移送準備よし。,While handcuffing someone - Suspect
[CALL]ArrestingSuspect_17,すべて完了。,While handcuffing someone - Suspect
[CALL]ArrestingSuspect_18,これでお前も犯罪者の仲間入りだ。,While handcuffing someone - Suspect
[CALL]ArrestingSuspect_2,拘束して準備よし。,While handcuffing someone - Suspect
[CALL]ArrestingSuspect_3,やつらを確保。,While handcuffing someone - Suspect
[CALL]ArrestingSuspect_4,容疑者に手錠をかけた、身柄確保。,While handcuffing someone - Suspect
[CALL]ArrestingSuspect_5,拘束中。,While handcuffing someone - Suspect
[CALL]ArrestingSuspect_6,手錠をかける。,While handcuffing someone - Suspect
[CALL]ArrestingSuspect_7,腕を動かすな、そっちを向け。,While handcuffing someone - Suspect
[CALL]ArrestingSuspect_8,動くな。,While handcuffing someone - Suspect
[CALL]ArrestingSuspect_9,そっちを向いて動くな。,While handcuffing someone - Suspect
[CALL]BleedoutBreath_0,（荒い息遣い）,
[CALL]BleedoutBreath_1,（荒い息遣い）,
[CALL]BleedoutBreath_2,（荒い息遣い）,
[CALL]BlockedByPlayer_0,どいてください。,Person is in the way
[CALL]BlockedByPlayer_1,どいてください。,Person is in the way
[CALL]BlockedByPlayer_2,どいてください。,Person is in the way
[CALL]BlockedByPlayer_3,そこはどいてくれ。,Person is in the way
[CALL]BlockedByPlayer_4,動いてくれ。,Person is in the way
[CALL]BlockedByPlayer_5,横にずれてくれ。,Person is in the way
[CALL]BlockedByPlayer_6,動いてくれ。,Person is in the way
[CALL]BlueOccupiesDoorS_0,ブルーチームに任せろ。,
[CALL]BlueOccupiesDoorS_1,ブルーチームに任せろ。,
[CALL]BlueOccupiesDoorS_2,そこはブルーチームに任せろ。,
[CALL]BlueOccupiesDoorS_3,ブルーチームがすでにそのドアを見張ってる。,
[CALL]BlueOccupiesDoor_0,ブルーチームに任せろ。,leader is ordering red team to stack up on a door but the blue team is already on it
[CALL]BlueOccupiesDoor_1,ブルーチームに任せろ。,leader is ordering red team to stack up on a door but the blue team is already on it
[CALL]BlueOccupiesDoor_2,そこはブルーチームに任せろ。,leader is ordering red team to stack up on a door but the blue team is already on it
[CALL]BlueOccupiesDoor_3,ブルーチームがすでにそのドアを見張ってる。,leader is ordering red team to stack up on a door but the blue team is already on it
[CALL]BorderPatrolS_0,隅々まで確認すべきだ。,
[CALL]BorderPatrolS_1,隠れ場が沢山あるな。,
[CALL]BorderPatrolS_2,しっかり見張ってろよ。前に俺の横をすり抜けたヤツがいたんだ。,
[CALL]BorderPatrol_0,隅々まで確認すべきだ。,Specific trait that gives the rest of the team a bonus
[CALL]BorderPatrol_1,隠れ場が沢山あるな。,Specific trait that gives the rest of the team a bonus
[CALL]BorderPatrol_2,目を離すな。前に誰かを見落としたことがある。,Specific trait that gives the rest of the team a bonus
[CALL]BreachDone_0,突入！,Breaching a door into a room
[CALL]BreachDone_1,行くぞ！,Breaching a door into a room
[CALL]BreachDone_2,中に入るぞ！,Breaching a door into a room
[CALL]BreachDone_3,中に入るぞ！,Breaching a door into a room
[CALL]BreachDone_4,入るぞ！,Breaching a door into a room
[CALL]BreachDone_5,行くぞ！,Breaching a door into a room
[CALL]BreachDone_6,行け、行け、行け！,Breaching a door into a room
[CALL]BreacherS_0,先手を打とう。,
[CALL]BreacherS_1,奴らを驚かせてやろう。,
[CALL]BreacherS_2,奇襲をかけるぞ。,
[CALL]Breacher_0,先手を打とう。,Specific trait that gives the rest of the team a bonus
[CALL]Breacher_1,奴らを驚かせてやろう。,Specific trait that gives the rest of the team a bonus
[CALL]Breacher_2,奇襲をかけるぞ。,Specific trait that gives the rest of the team a bonus
[CALL]C2Placed_0,爆発物、準備完了。,After placing C2 explosive on a door
[CALL]C2Placed_1,爆薬、準備完了。,After placing C2 explosive on a door
[CALL]C2Placed_2,準備完了。パーティーの時間だ。,After placing C2 explosive on a door
[CALL]C2Placed_3,配置した。準備完了。,After placing C2 explosive on a door
[CALL]C2Placed_4,準備よし。みんな耳をふさげ。,After placing C2 explosive on a door
[CALL]C2Placed_5,ドンと行くぞ！,After placing C2 explosive on a door
[CALL]C2Placed_6,一発ぶちかますぞ。,After placing C2 explosive on a door
[CALL]CollectEvidenceMoveS_0,回収する。,
[CALL]CollectEvidenceMoveS_1,回収する。,
[CALL]CollectEvidenceMoveS_2,梱包する。,
[CALL]CollectEvidenceMoveS_3,回収する,
[CALL]CollectEvidenceMoveS_4,回収した。,
[CALL]CollectEvidenceMoveS_5,梱包する。,
[CALL]CollectEvidenceMove_0,回収する。,
[CALL]CollectEvidenceMove_1,回収する。,
[CALL]CollectEvidenceMove_2,梱包する。,
[CALL]CollectEvidenceMove_3,回収する,
[CALL]CollectEvidenceMove_4,回収した。,
[CALL]CollectEvidenceMove_5,梱包する。,
[CALL]CollectEvidence_0,証拠品を確保。,Collecting evidence into a bag
[CALL]CollectEvidence_1,証拠品の準備よし。,Collecting evidence into a bag
[CALL]CollectEvidence_2,準備よし。,Collecting evidence into a bag
[CALL]CollectEvidence_3,確保した。,Collecting evidence into a bag
[CALL]CollectEvidence_4,回収した。,Collecting evidence into a bag
[CALL]CollectEvidence_5,保管中。,Collecting evidence into a bag
[CALL]CollectEvidence_6,保管した。,Collecting evidence into a bag
[CALL]CollectEvidence_7,確保中。,Collecting evidence into a bag
[CALL]CoverAreaS_0,なにも見当たらない。,
[CALL]CoverAreaS_1,なにも見当たらない。,
[CALL]CoverAreaS_2,ここには何もありません。,
