Key,Dialogue,Context
[BARK]Arrested_0,これをメディアに好き勝手に報道させるつもりなんだろ？我々が敵であるかのように。臆病者が。,
[BARK]Arrested_1,クソな臆病者。,
[BARK]Arrested_10,我々は奴らが力で踏みつぶそうとするのを阻止しているんだ。,
[BARK]Arrested_11,義務を果たすだけじゃ言い訳にはならない。,
[BARK]Arrested_12,年金のためなら何でも言うことを聞くんだろ？,
[BARK]Arrested_13,本当に何が起きているのかわからないのか？,
[BARK]Arrested_14,我々は善良な人間だ。奴らは陰謀団だ。,
[BARK]Arrested_15,我々の戦いの相手はあんたじゃない。,
[BARK]Arrested_16,こんなことに価値はない、わかってるんだろ。,
[BARK]Arrested_17,誰の懐であったまってんだ、カモ野郎？,
[BARK]Arrested_18,カモ野郎。,
[BARK]Arrested_19,あんたは誰に操られているんだ？,
[BARK]Arrested_2,我々は他の人たちを狙っていたわけじゃない。クソ！,
[BARK]Arrested_20,我々のメッセージは止められない。,
[BARK]Arrested_21,あんたは間違った側にいる！,
[BARK]Arrested_22,我々の側につくべきだったんだ。,
[BARK]Arrested_3,もっと来るぞ。待ってるがいい。,
[BARK]Arrested_4,このあとニュースをつけて、奴らがどう報道するか見てみろ。,
[BARK]Arrested_5,あいつは腐ってる。自業自得だ。,
[BARK]Arrested_6,民間人は巻き添えを食った。,
[BARK]Arrested_7,裏切者。,
[BARK]Arrested_8,本当に何が起きているのか、目を覚ますべきだ。,
[BARK]Arrested_9,次に奴らがあんたを弄ぶのは時間の問題だ。,
[BARK]BashImmune_0,我々はこのために訓練を積んだんだ！,
[BARK]Compliant_0,あー、くそっ。,
[BARK]Compliant_1,クソッ！必ず後悔することになるぞ。,
[BARK]Compliant_2,手を上げてるだろ！クソッ！,
[BARK]Compliant_3,わかった、俺は抜ける！,
[BARK]Compliant_4,もういい、もういいよ！,
[BARK]Compliant_5,わかった、負けたよ。,
[BARK]Compliant_6,わかった、終わりだ。,
[BARK]Compliant_7,降参する！,
[BARK]Compliant_8,降参するよ。,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_20,（悲鳴）,
[BARK]Death_21,（悲鳴）,
[BARK]Death_22,（悲鳴）,
[BARK]Death_23,（悲鳴）,
[BARK]Death_24,（悲鳴）,
[BARK]Death_25,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]FellowAIKilled_0,畜生！,
[BARK]FellowAIKilled_1,一人やられた！,
[BARK]FellowAIKilled_2,一人やられた！,
[BARK]FellowAIKilled_3,ここで一人やられてる。クソッ！,
[BARK]FellowAIKilled_4,ここで一人やられてる！,
[BARK]FellowAIKilled_5,クソッ！,
[BARK]FellowAIKilled_6,メディックが要る！,
[BARK]FellowAIKilled_7,クソッ！倒れてる！,
[BARK]Flashed_0,（苦痛に満ちた叫び声）,
[BARK]Flashed_1,ああ、クソ！,
[BARK]Flashed_2,最悪だ！,
[BARK]FlashImmune_0,それで精一杯か？,
[BARK]GasImmune_0,うまくいくはずない。,
[BARK]GasImmune_1,もっとうまくやれるだろ！,
[BARK]Gassed_0,（咳き込む）,
[BARK]Gassed_1,（咳き込む）,
[BARK]Gassed_2,（咳き込む）,
[BARK]HeardSWAT_0,構えろ。何か聞こえた。,
[BARK]HeardSWAT_1,準備しろ。,
[BARK]HeardSWAT_2,おまえか？,
[BARK]HeardSWAT_3,おい？,
[BARK]HeardSWAT_4,うーん...,
[BARK]HeardSWAT_5,みんな備えろ。,
[BARK]HeardSWAT_6,無線チェック。,
[BARK]HeardSWAT_7,大丈夫か？,
[BARK]HeardSWAT_8,あれは何だ？,
[BARK]IdleAlly_0,まだ監視してるのは誰だ？,
[BARK]IdleAlly_1,すべての装備を整理しろ。,
[BARK]IdleAlly_2,俺がわかっていることは、ドアに常に注意を払っておく必要があるということだけだ。,
[BARK]IdleAlly_3,アラームは停止した。戦いが始まるまで、そう長くはない。,
[BARK]IdleAlly_4,奴らはドアを破ろうとするだろう。,
[BARK]IdleAlly_5,みんな弾薬を確認しろ。,
[BARK]IdleAlly_6,マグチェックしろ。奴らがここに来たら、大変なことになるだろう。,
[BARK]IdleAlly_7,クソ！奴らはすべて間違ってた！奴らが実際に再生した映像の量を見たか？,
[BARK]IdleAlly_8,奴らがデタラメなプロパガンダを垂れ流すのを見てみろ。,
[BARK]IdleAlly_9,俺たちは共通の絆で結ばれてる。,
[BARK]IdleEnemy_0,黙って座ってろ。俺たちはお前に用はない。,
[BARK]IdleEnemy_1,LSニュースの電話番号を知ってる奴はいるか？俺たちは事実を明確にする必要がある。,
[BARK]IdleSelf_0,（つぶやき）,
[BARK]IdleSelf_1,グローバリストの計略が進行中だ。今度は奴らを勝たせはしない。,
[BARK]IdleSelf_2,奴らは究極の選択を迫られた。我々がすべてを逆転させる日もそう遠くないだろう。,
