Key,Dialogue,Context
[BARK]Arrested_0,金は俺のだよな？もらっていいか？,
[BARK]Arrested_1,クソ。,
[BARK]Arrested_10,自分の家族にもこうするのか？,
[BARK]Arrested_11,自分の家族にもこうするのか？,
[BARK]Arrested_12,もうどうでもいい。,
[BARK]Arrested_13,何も言うつもりはない。,
[BARK]Arrested_2,俺がいなくなったら家族は終わりだ。,
[BARK]Arrested_3,分かってほしい、金が問題なんだ。,
[BARK]Arrested_4,捕まえないでくれ。子供がいるんだ。,
[BARK]Arrested_5,俺の給料は確実に子供に届けてほしい。,
[BARK]Arrested_6,言われたことをしてただけだ。,
[BARK]Arrested_7,ボルトンの従業員だ。ここで働いてる。,
[BARK]Arrested_8,何を疑ってるか知らないが、俺は関与してない。,
[BARK]Arrested_9,警備してるだけだ。,
[BARK]ArrestIdle_0,逮捕するのか？,
[BARK]ArrestIdle_1,何の罪か教えてくれないか？,
[BARK]ArrestIdle_2,何の罪か教えてくれ。,
[BARK]ArrestIdle_3,これから黙秘権がどうとか読み上げるのか？,
[BARK]ArrestIdle_4,めちゃくちゃだ。ヴォールと話してくれ。あんたが探してるのは奴だ。,
[BARK]ArrestIdle_5,クソ。,
[BARK]ArrestIdle_6,逮捕していい。だけど家族と話させてほしい。,
[BARK]ArrestIdle_7,いいか、俺はただ…,
[BARK]ArrestIdle_8,あんたらには何の恨みもない。それは分かってくれ。,
[BARK]ArrestIdle_9,どういうことなのか説明してくれるか？何が何だか分からない。,
[BARK]Bashed_0,（苦痛に満ちた叫び声）,
[BARK]Bashed_1,（苦痛に満ちた叫び声）,
[BARK]Bashed_2,（苦痛に満ちた叫び声）,
[BARK]Bashed_3,（苦痛に満ちた叫び声）,
[BARK]Bashed_4,（苦痛に満ちた叫び声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Compliant_0,これ以上事を荒立てないでほしい。,
[BARK]Compliant_1,ゆっくり動くよ。,
[BARK]Compliant_10,もうたくさんだ。,
[BARK]Compliant_11,了解。,
[BARK]Compliant_12,分かった、分かった、クソ！,
[BARK]Compliant_13,落ち着け。,
[BARK]Compliant_2,手を上げてる。,
[BARK]Compliant_3,撃つな。子供がいるんだ！,
[BARK]Compliant_4,こんなことで捕まってたまるか！,
[BARK]Compliant_5,降参だ！,
[BARK]Compliant_6,降参だ！,
[BARK]Compliant_7,動かない！,
[BARK]Compliant_8,バカなマネはしない。,
[BARK]Compliant_9,分かった、何もしない。,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]FellowAIKilled_0,クソ！撃たれたか？,
[BARK]FellowAIKilled_1,そばにいろ！,
[BARK]FellowAIKilled_2,そばにいろ！,
[BARK]FellowAIKilled_3,そばにいろ！,
[BARK]FellowAIKilled_4,クソ野郎ども！,
[BARK]FellowAIKilled_5,クソ！,
[BARK]FellowAIKilled_6,立て！,
[BARK]Flashed_0,ああ、クソ！何も見えない！,
[BARK]Flashed_1,クソ！ああ、クソ！何も見えない！,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]HeardSWAT_0,出てこい。どこにいる？,
[BARK]HeardSWAT_1,何者だ？,
[BARK]HeardSWAT_2,誰だ？,
[BARK]HeardSWAT_3,今のは何だ？,
[BARK]HeardSWAT_4,何だ？,
[BARK]HeardSWAT_5,シッ！,
[BARK]HeardSWAT_6,シッ！,
[BARK]HeardSWAT_7,準備はできてる。,
[BARK]HeardSWAT_8,準備しろ。,
[BARK]Hesitating_0,クソ。クソ。,
[BARK]Hesitating_1,ああ、クソ！クソ！,
[BARK]Hesitating_2,クソ。,
[BARK]Hesitating_3,クソ。,
[BARK]Hesitating_4,クソ！,
[BARK]IdleAlly_0,捕まるのは嫌だ。何をされるか知ってる。,
[BARK]IdleAlly_1,あいつはネズミ野郎だ。きっと金に目がくらんでヴォールを売ったんだろう。,
[BARK]IdleAlly_10,子供がいるのにLSPDにケンカを売っちまうなんて。,
[BARK]IdleAlly_11,これが終わったら妻と子供たちにどう言おう？,
[BARK]IdleAlly_12,金はいい。だがこれはよくない。,
[BARK]IdleAlly_2,捕まったら終わりだ。,
[BARK]IdleAlly_3,レビはどこにいるんだ？,
[BARK]IdleAlly_4,もうめちゃくちゃだ。,
[BARK]IdleAlly_5,気を抜くな。しくじるな。,
[BARK]IdleAlly_6,何か見えたか？,
[BARK]IdleAlly_7,ヴォールは何がしたいんだ？,
[BARK]IdleAlly_8,俺たちが捕まったらどんな大変なことになるか分かるか？,
[BARK]IdleAlly_9,金はしっかり払ってもらわないとな。もう俺の手には負えない。,
[BARK]IdleEnemy_0,落ち着いて頭を下げてろ。,
[BARK]IdleEnemy_1,傷つけたくはない。本気だ。,
[BARK]IdleEnemy_2,警察なんかに手を貸すな。,
[BARK]IdleEnemy_3,警察に手を貸さなければ逃げられるよ。約束する。,
[BARK]IdleSelf_0,了解。こっちは異常なし。,
[BARK]IdleSelf_1,報告。,
[BARK]IdleSelf_2,行っちまえば全てが終わる。,
[BARK]IdleSelf_3,金か正義か？,
[BARK]Immune_0,その程度じゃダメだ。,
[BARK]Immune_1,どうするつもりだ？,
[BARK]Immune_2,残念だったな。,
[BARK]Immune_3,残念だったな。,
[BARK]Immune_4,トレーニングしろ！,
[BARK]KillCivilian_0,悪いな、嘘をついた。,
[BARK]KillCivilian_1,こうするしかない。,
[BARK]KillCivilian_2,1人殺せ。,
[BARK]KillCivilian_3,やれ。,
[BARK]KillCivilian_4,クソ。こっちは本気だと分からせてやれ。,
[BARK]NonCompliant_0,全てを投げ出すつもりはない！,
[BARK]NonCompliant_1,俺はギリギリなんだ！,
[BARK]NonCompliant_2,絶対ありえねえ！,
[BARK]NonCompliant_3,絶対無理だ！,
[BARK]NonCompliant_4,捕まってたまるか！,
[BARK]NonCompliant_5,クソ野郎！銃を捨てろ！,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]Pain_1,（苦痛に満ちた叫び声）,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Pain_3,（苦痛に満ちた叫び声）,
[BARK]Pain_4,（苦痛に満ちた叫び声）,
[BARK]Pain_5,（苦痛に満ちた叫び声）,
[BARK]PickedUp_0,どこへ連れて行く気だ？,
[BARK]PickedUp_1,クソ。分かった、歩くよ。,
[BARK]PlayerSeen_0,LSPDだ。,
[BARK]PlayerSeen_1,クソ野郎！,
[BARK]PlayerSeen_2,お客が来た。,
[BARK]PlayerSeen_3,お客が来た。,
[BARK]PlayerSeen_4,撃つな！,
[BARK]Stunned_0,（苦痛に満ちた叫び声）,
[BARK]Stunned_1,（苦痛に満ちた叫び声）,
[BARK]Tased_0,（苦痛に満ちた叫び声）,
[BARK]Tased_1,（苦痛に満ちた叫び声）,
[REPLY]Fleeing_0,ここにいろ！,
[REPLY]Fleeing_1,背後は任せろ！,
[REPLY]Fleeing_2,戻れ！,
[REPLY]Fleeing_3,どこへ行く気だ？！,
[REPLY]Fleeing_4,戻ってこい！,
[REPLY]Fleeing_5,行け、行け、行け！,
[REPLY]Fleeing_6,行け！行け！,
[REPLY]Shooting_0,捨てろ！,
[REPLY]Shooting_1,援護しろ！,
[REPLY]Shooting_2,防具を着てるぞ！,
[REPLY]Shooting_3,奴らを近づかせるな！,
[REPLY]Shooting_4,あそこの奴をやれ！,
[TELL]Fleeing_0,退避する！,
[TELL]Fleeing_1,数が多すぎる！,
[TELL]Fleeing_2,中へ向かう！,
[TELL]Fleeing_3,逃げるぞ。,
[TELL]Shooting_0,帰れ、クソ野郎！,
[TELL]Shooting_1,諦めねえぞ！聞こえるか！,
[TELL]Shooting_2,おとなしく死ね！,
[TELL]Shooting_3,ゴキブリどもめ！,
[TELL]Shooting_4,その程度で終わりか？！,
[TELL]Shooting_5,俺がビビるとでも思ったか？！,
[TELL]Shooting_6,死ね、クソ野郎！死ね！,
[TELL]Shooting_7,あの裏だ！,
[TELL]Shooting_8,弾切れしそうだ！,
[TELL]Shooting_9,泣き叫べ、クソ野郎！,
